path	node	rank
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfurisphaera	Sulfurisphaera	genus
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;uncultured	uncultured	genus
Archaea;Crenarchaeota;Thermoprotei;Terrestrial Miscellaneous Gp(TMCG)	Terrestrial Miscellaneous Gp(TMCG)	order
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales	Thermoproteales	order
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae	Thermofilaceae	family
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum	Thermofilum	genus
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae	Thermoproteaceae	family
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Caldivirga	Caldivirga	genus
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Pyrobaculum	Pyrobaculum	genus
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Thermocladium	Thermocladium	genus
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Thermoproteus	Thermoproteus	genus
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;uncultured	uncultured	genus
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Vulcanisaeta	Vulcanisaeta	genus
Archaea;Crenarchaeota;Thermoprotei;uncultured	uncultured	order
Archaea;Euryarchaeota	Euryarchaeota	phylum
Archaea;Euryarchaeota;Methanobacteria	Methanobacteria	class
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales	Methanobacteriales	order
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae	Methanobacteriaceae	family
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium	Methanobacterium	genus
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter	Methanobrevibacter	genus
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera	Methanosphaera	genus
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;uncultured	uncultured	genus
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanothermaceae	Methanothermaceae	family
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanothermaceae;Methanothermus	Methanothermus	genus
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanothermobacteriaceae	Methanothermobacteriaceae	family
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanothermobacteriaceae;Methanothermobacter	Methanothermobacter	genus
Archaea;Euryarchaeota;Methanococci	Methanococci	class
Archaea;Euryarchaeota;Methanococci;Methanococcales	Methanococcales	order
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanocaldococcaceae	Methanocaldococcaceae	family
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanocaldococcaceae;Methanocaldococcus	Methanocaldococcus	genus
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae	Methanococcaceae	family
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanococcus	Methanococcus	genus
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanothermococcus	Methanothermococcus	genus
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanotorris	Methanotorris	genus
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;uncultured	uncultured	genus
Archaea;Euryarchaeota;Methanopyri	Methanopyri	class
Archaea;Euryarchaeota;Methanopyri;Methanopyrales	Methanopyrales	order
Archaea;Euryarchaeota;Methanopyri;Methanopyrales;Methanopyraceae	Methanopyraceae	family
Archaea;Euryarchaeota;Methanopyri;Methanopyrales;Methanopyraceae;Methanopyrus	Methanopyrus	genus
Archaea;Euryarchaeota;Thermococci	Thermococci	class
Archaea;Euryarchaeota;Thermococci;Methanofastidiosales	Methanofastidiosales	order
Archaea;Euryarchaeota;Thermococci;Methanofastidiosales;Methanofastidiosaceae	Methanofastidiosaceae	family
Archaea;Euryarchaeota;Thermococci;Methanofastidiosales;Methanofastidiosaceae;Candidatus Methanofastidiosum	Candidatus Methanofastidiosum	genus
Archaea;Euryarchaeota;Thermococci;Methanofastidiosales;uncultured	uncultured	family
Archaea;Euryarchaeota;Thermococci;Thermococcales	Thermococcales	order
